,Date,Open,High,Low,Close,Adj Close,Volume
68,2017-04-21,13.59,14.15,13.37,13.79,11.96659,111326300.0
69,2017-04-28,13.81,14.55,13.69,14.27,12.38312,84594600.0
70,2017-05-05,14.3,14.51,14.09,14.18,12.305021,64059600.0
71,2017-05-12,14.05,14.61,13.85,14.01,12.157499000000001,100433700.0
72,2017-05-19,14.07,14.55,13.97,14.28,12.391799,79202300.0
73,2017-05-26,14.24,14.33,13.6,13.79,11.96659,86702300.0
74,2017-06-02,13.62,14.22,13.26,14.03,12.174855,93979500.0
75,2017-06-09,14.14,14.69,14.1,14.4,12.561063,88588800.0
76,2017-06-16,14.37,14.63,13.77,13.84,12.072577,72132300.0
77,2017-06-23,13.91,14.85,13.46,14.66,12.787861,120518900.0
78,2017-06-30,14.73,14.97,14.47,14.71,12.831474,48809800.0
79,2017-07-07,14.8,14.86,14.56,14.82,12.927427,61243400.0
80,2017-07-14,14.61,14.78,14.28,14.31,12.482557,63040700.0
81,2017-07-21,14.22,14.77,14.01,14.39,12.552342,93510400.0
82,2017-07-28,14.4,14.97,14.32,14.9,12.997212,77910100.0
83,2017-08-04,15.04,15.28,14.27,14.3,12.473832000000002,86200800.0
84,2017-08-11,14.26,14.67,13.96,13.99,12.203421,66255700.0
85,2017-08-18,13.91,14.47,13.89,14.45,12.604677,56914700.0
86,2017-08-25,14.5,14.58,13.97,14.11,12.3081,56727500.0
87,2017-09-01,14.13,14.36,13.03,13.17,11.488137,43110600.0
88,2017-09-08,13.14,13.89,13.13,13.69,12.021169,62603200.0
89,2017-09-15,13.67,14.46,13.65,14.43,12.670960000000001,64149700.0
90,2017-09-22,14.35,15.18,14.29,15.04,13.206601000000001,59108600.0
91,2017-09-29,15.05,15.33,14.99,15.27,13.408563000000001,51826900.0
92,2017-10-06,15.37,15.48,14.88,14.91,13.092447,56399100.0
93,2017-10-13,14.87,15.03,14.62,14.97,13.145133,42773900.0
94,2017-10-20,15.18,15.88,15.01,15.81,13.882735,84744000.0
95,2017-10-27,15.75,15.85,15.32,15.71,13.794925,59110500.0
96,2017-11-03,15.63,15.97,15.1,15.28,13.417344,68272800.0
97,2017-11-10,15.34,15.99,15.06,15.7,13.786145000000001,71122000.0
98,2017-11-17,15.6,15.92,15.54,15.56,13.663212,45417000.0
99,2017-11-24,15.6,16.940001000000002,15.47,16.59,14.567654000000001,63805100.0
100,2017-12-01,16.6,17.17,16.049999,16.969998999999998,14.901329,63123400.0
101,2017-12-08,17.01,17.41,16.83,16.91,14.928714999999999,50339800.0
102,2017-12-15,17.0,17.58,16.92,17.49,15.440759,62500100.0
103,2017-12-22,17.559998999999998,17.58,17.219998999999998,17.379998999999998,15.343648000000002,19043100.0
104,2017-12-29,17.450001,17.73,17.24,17.540001,15.4849,34859600.0
105,2018-01-05,17.6,18.27,17.33,18.200001,16.06757,44720900.0
106,2018-01-12,18.309998999999998,18.549999,17.9,18.15,16.023429999999998,38763500.0
107,2018-01-19,18.35,19.6,18.290001,19.139999,16.897432000000002,77462300.0
108,2018-01-26,19.26,19.6,19.059998999999998,19.540001,17.250566,42624200.0
109,2018-02-02,19.549999,19.9,17.73,17.9,15.802722,82731900.0
110,2018-02-09,18.15,19.57,17.620001000000002,19.48,17.197594,67174500.0
111,2018-02-16,19.389999,19.879998999999998,19.25,19.309998999999998,17.047514000000003,36761700.0
112,2018-02-23,19.389999,20.1,19.110001,19.26,17.003376,59359000.0
113,2018-03-02,19.139999,19.950001,18.83,19.76,17.44479,38171800.0
114,2018-03-09,19.92,20.209999,19.200001,19.370001000000002,17.178293,48225200.0
115,2018-03-16,19.4,19.83,18.57,18.620001000000002,16.513157,62898600.0
116,2018-03-23,18.68,18.98,17.950001,18.58,16.47768,65455300.0
117,2018-03-30,18.530001000000002,18.99,17.85,18.84,16.708263,37225700.0
118,2018-04-06,18.59,19.1,18.02,18.98,16.832422,53148700.0
119,2018-04-13,19.110001,19.15,17.799999,18.15,16.096335999999997,71393700.0
120,2018-04-20,17.99,19.23,17.99,18.809998999999998,16.681658,75201000.0
121,2018-04-27,18.76,19.200001,18.120001000000002,18.42,16.335785,50266400.0
